Trolley_Rank,Stop_Name,Route,District,Units_2020_2025,Permits_2020_2025,Development_Score,Frequency_Score,Total_Score
140,Woodland Av & 47th St,T4,3,101,3,8.8,25.5,34.3
141,Woodland Av & 46th St,T4,3,101,3,8.8,25.5,34.3
142,Woodland Av & 46th St,T4,3,101,3,8.8,25.5,34.3
143,Woodland Av & 46th St,T5,3,101,3,8.8,25.5,34.3
144,Woodland Av & 46th St,T5,3,101,3,8.8,25.5,34.3
145,Chester Av & 46th St,T3,3,91,2,8.0,25.5,33.5
146,Chester Av & 45th St,T3,3,91,2,8.0,25.5,33.5
147,Chester Av & 45th St,T3,3,91,2,8.0,25.5,33.5
148,Chester Av & 46th St,T3,3,91,2,8.0,25.5,33.5
149,Lancaster Av & Powelton Av,T1,3,90,10,7.9,25.5,33.4
150,Baltimore Av & 50th St,T2,3,90,9,7.9,25.5,33.4
151,Baltimore Av & 49th St,T2,3,90,9,7.9,25.5,33.4
152,Baltimore Av & 49th St,T2,3,90,9,7.9,25.5,33.4
153,Baltimore Av & 50th St,T2,3,90,9,7.9,25.5,33.4
154,Woodland Av & 48th St,T4,3,86,2,7.5,25.5,33.0
155,Woodland Av & 48th St,T4,3,86,2,7.5,25.5,33.0
156,Woodland Av & 48th St,T5,3,86,2,7.5,25.5,33.0
157,Woodland Av & 48th St,T5,3,86,2,7.5,25.5,33.0
158,Chester Av & 54th St,T3,3,83,9,7.3,25.5,32.8
159,Lancaster Av & Bible Way,T1,4,81,9,7.1,25.5,32.6
160,Lancaster Av & 52nd St,T1,4,81,9,7.1,25.5,32.6
161,Baltimore Av & 49th St,T2,3,80,8,7.0,25.5,32.5
162,Baltimore Av & 49th St,T2,3,80,8,7.0,25.5,32.5
163,Chester Av & 54th St,T3,3,79,8,6.9,25.5,32.4
164,Girard Av & 28th St,G1,5,76,7,6.7,25.5,32.1
165,Girard Av & 28th St,G1,5,76,7,6.7,25.5,32.1
166,26th St & Poplar St,G1,5,76,7,6.7,25.5,32.1
167,Lansdowne Av & 63rd - FS,T1,4,72,4,6.3,25.5,31.8
168,63rd St & Lansdowne Av - FS,T1,4,72,4,6.3,25.5,31.8
169,Girard Av & 54th St,G1,4,70,7,6.1,25.5,31.6
170,Girard Av & 54th St,G1,4,70,7,6.1,25.5,31.6
171,Lansdowne Av & 55th St,T1,4,68,7,6.0,25.5,31.4
172,Lansdowne Av & Lancaster Av,T1,4,68,7,6.0,25.5,31.4
173,Lancaster Av & 47th St,T1,3,68,8,6.0,25.5,31.4
174,Lancaster Av & 47th St,T1,3,68,8,6.0,25.5,31.4
175,Girard Av & Berks St,G1,1,66,7,5.8,25.5,31.3
176,Girard Av & Columbia Av,G1,5,66,7,5.8,25.5,31.3
177,Girard Av & 29th St,G1,5,66,6,5.8,25.5,31.3
178,Girard Av & 29th St,G1,5,66,6,5.8,25.5,31.3
179,Girard Av & Berks St,G1,1,66,7,5.8,25.5,31.3
180,Island Av & Tanager St - F,T5,2,65,3,5.7,25.5,31.2
181,Island Av & Buist Av,T5,2,65,3,5.7,25.5,31.2
182,Island Av & Buist Av - FS,T5,2,65,3,5.7,25.5,31.2
183,Island Av & Tanager St,T5,2,65,3,5.7,25.5,31.2
184,Lansdowne Av & 56th St,T1,4,64,6,5.6,25.5,31.1
185,Lansdowne Av & 56th St,T1,4,64,6,5.6,25.5,31.1
186,Richmond St & Clearfield St,G1,1,61,4,5.3,25.5,30.8
187,Richmond St & Ann St,G1,1,61,4,5.3,25.5,30.8
188,Richmond St & Ann St,G1,1,61,4,5.3,25.5,30.8
189,Richmond St & Clearfield St,G1,1,61,4,5.3,25.5,30.8
190,Girard Av & Columbia Av,G1,1,60,6,5.2,25.5,30.8
191,22nd St,T1,2,60,6,5.2,25.5,30.8
192,22nd St,T1,5,60,6,5.2,25.5,30.8
193,Baltimore Av & 55th St,T2,3,60,6,5.2,25.5,30.8
194,Baltimore Av & Florence Av,T2,3,60,6,5.2,25.5,30.8
195,22nd St,T2,2,60,6,5.2,25.5,30.8
196,22nd St,T2,5,60,6,5.2,25.5,30.8
197,Baltimore Av & 55th St,T2,3,60,6,5.2,25.5,30.8
198,22nd St,T3,2,60,6,5.2,25.5,30.8
199,22nd St,T3,5,60,6,5.2,25.5,30.8
200,22nd St,T4,2,60,6,5.2,25.5,30.8
201,22nd St,T4,5,60,6,5.2,25.5,30.8
202,22nd St,T5,2,60,6,5.2,25.5,30.8
203,22nd St,T5,5,60,6,5.2,25.5,30.8
204,Lansdowne Av & 54th St,T1,4,58,6,5.1,25.5,30.6
205,Lansdowne Av & 54th St,T1,4,58,6,5.1,25.5,30.6
206,Lansdowne Av & 55th St,T1,4,58,6,5.1,25.5,30.6
207,Island Av & 76th St,T5,2,55,2,4.8,25.5,30.3
208,Elmwood Av & Island Av - M,T5,2,55,2,4.8,25.5,30.3
209,Elmwood Av & Island Av,T5,2,55,2,4.8,25.5,30.3
210,Island Av & 76th St,T5,2,55,2,4.8,25.5,30.3
211,Girard Av & Merion Av,G1,4,54,6,4.7,25.5,30.2
212,Girard Av & Merion Av,G1,3,54,6,4.7,25.5,30.2
213,Richmond St & Girard Av,G1,1,50,5,4.4,25.5,29.9
214,Girard Av & Richmond St,G1,1,50,5,4.4,25.5,29.9
215,Baltimore Av & 56th St,T2,3,50,5,4.4,25.5,29.9
216,Baltimore Av & 56th St,T2,3,50,5,4.4,25.5,29.9
217,Lancaster Av & 48th St,T1,3,48,6,4.2,25.5,29.7
218,Lancaster Av & 36th St,T1,3,46,5,4.0,25.5,29.5
219,Richmond St & Allegheny Av,G1,6,41,2,3.6,25.5,29.1
220,Richmond St & Allegheny Av,G1,1,41,2,3.6,25.5,29.1
221,Woodland Av & 50th St,T2,3,40,4,3.5,25.5,29.0
222,Woodland Av & 53rd St,T4,3,40,4,3.5,25.5,29.0
223,Woodland Av & 52nd St,T4,3,40,4,3.5,25.5,29.0
224,Woodland Av & 51st St,T4,3,40,4,3.5,25.5,29.0
225,Woodland Av & 50th St,T4,3,40,4,3.5,25.5,29.0
226,Woodland Av & 50th St,T4,3,40,4,3.5,25.5,29.0
227,Woodland Av & 51st St,T4,3,40,4,3.5,25.5,29.0
228,Woodland Av & 52nd St,T4,3,40,4,3.5,25.5,29.0
229,Woodland Av & 53rd St,T4,3,40,4,3.5,25.5,29.0
230,Woodland Av & 54th St,T4,3,40,4,3.5,25.5,29.0
231,Chester Av & 55th St,T3,3,39,4,3.4,25.5,28.9
232,Chester Av & 55th St,T3,3,39,4,3.4,25.5,28.9
233,Girard Av & Palmer St,G1,5,36,4,3.1,25.5,28.6
234,Girard Av & Palmer St,G1,5,36,4,3.1,25.5,28.6
235,36th St & Lancaster Av,T1,3,36,4,3.1,25.5,28.6
236,Lancaster Av & 50th St,T1,4,33,4,2.9,25.5,28.4
237,Lancaster Av & 50th St,T1,4,33,4,2.9,25.5,28.4
238,Girard Av & 31st St,G1,4,30,3,2.6,25.5,28.1
239,Girard Av & 56th St,G1,4,30,3,2.6,25.5,28.1
240,Girard Av & 61st St,G1,4,30,3,2.6,25.5,28.1
241,Girard Av & 56th St,G1,4,30,3,2.6,25.5,28.1
242,Baltimore Av & 48th St,T2,3,30,3,2.6,25.5,28.1
243,Woodland Av & 54th St,T4,3,30,3,2.6,25.5,28.1
244,Girard Av & 63rd St - MBFS,G1,4,26,3,2.3,25.5,27.8
245,Girard Av & 63rd St - MBFS,G1,4,26,3,2.3,25.5,27.8
246,Elmwood Av & 59th St,T5,2,26,2,2.3,25.5,27.8
247,Elmwood Av & 58th St,T5,2,26,2,2.3,25.5,27.8
248,Elmwood Av & 57th St,T5,2,26,2,2.3,25.5,27.8
249,Elmwood Av & 56th St,T5,2,26,2,2.3,25.5,27.8
250,Elmwood Av & 56th St,T5,2,26,2,2.3,25.5,27.8
251,Elmwood Av & 57th St,T5,2,26,2,2.3,25.5,27.8
252,Elmwood Av & 58th St,T5,2,26,2,2.3,25.5,27.8
253,Elmwood Av & 59th St,T5,2,26,2,2.3,25.5,27.8
254,Lancaster Av & Thompson St,T1,4,23,3,2.0,25.5,27.5
255,Richmond St & Cambria St,G1,1,20,2,1.8,25.5,27.2
256,Richmond St & Somerset St,G1,1,20,2,1.8,25.5,27.2
