Rank,Stop_Name,Route,District,Permits_2020_2025,Units_2020_2025,Latitude,Longitude
210,Island Av & 76th St,T5,2,2,55,39.907391,-75.24155
211,Girard Av & Merion Av,G1,4,6,54,39.972814,-75.216277
212,Girard Av & Merion Av,G1,3,6,54,39.972725,-75.216431
213,Richmond St & Girard Av,G1,1,5,50,39.973068,-75.119591
214,Girard Av & Richmond St,G1,1,5,50,39.972988,-75.119769
215,Baltimore Av & 56th St,T2,3,5,50,39.946785,-75.235602
216,Baltimore Av & 56th St,T2,3,5,50,39.946936,-75.235519
217,Lancaster Av & 48th St,T1,3,6,48,39.972244,-75.217035
218,Lancaster Av & 36th St,T1,3,5,46,39.958565,-75.193786
219,Richmond St & Allegheny Av,G1,6,2,41,39.983053,-75.101437
220,Richmond St & Allegheny Av,G1,1,2,41,39.982875,-75.101544
221,Woodland Av & 50th St,T2,3,4,40,39.939886,-75.213907
222,Woodland Av & 53rd St,T4,3,4,40,39.937242,-75.217681
223,Woodland Av & 52nd St,T4,3,4,40,39.938203,-75.216297
224,Woodland Av & 51st St,T4,3,4,40,39.938987,-75.215197
225,Woodland Av & 50th St,T4,3,4,40,39.939886,-75.213907
226,Woodland Av & 50th St,T4,3,4,40,39.940064,-75.213848
227,Woodland Av & 51st St,T4,3,4,40,39.939192,-75.215102
228,Woodland Av & 52nd St,T4,3,4,40,39.938408,-75.216214
229,Woodland Av & 53rd St,T4,3,4,40,39.937438,-75.217598
230,Woodland Av & 54th St,T4,3,4,40,39.936485,-75.218947
231,Chester Av & 55th St,T3,3,4,39,39.938654,-75.224301
232,Chester Av & 55th St,T3,3,4,39,39.938832,-75.224253
233,Girard Av & Palmer St,G1,5,4,36,39.970983,-75.1284
234,Girard Av & Palmer St,G1,5,4,36,39.97084,-75.128519
235,36th St & Lancaster Av,T1,3,4,36,39.958404,-75.193585
236,Lancaster Av & 50th St,T1,4,4,33,39.975207,-75.22259
237,Lancaster Av & 50th St,T1,4,4,33,39.975234,-75.222389
238,Girard Av & 31st St,G1,4,3,30,39.975009,-75.186549
239,Girard Av & 56th St,G1,4,3,30,39.970761,-75.232477
240,Girard Av & 61st St,G1,4,3,30,39.969801,-75.241221
241,Girard Av & 56th St,G1,4,3,30,39.970636,-75.232667
242,Baltimore Av & 48th St,T2,3,3,30,39.948472,-75.219101
243,Woodland Av & 54th St,T4,3,3,30,39.936262,-75.219054
244,Girard Av & 63rd St - MBFS,G1,4,3,26,39.970226,-75.244598
245,Girard Av & 63rd St - MBFS,G1,4,3,26,39.970226,-75.244598
246,Elmwood Av & 59th St,T5,2,2,26,39.928039,-75.221994
247,Elmwood Av & 58th St,T5,2,2,26,39.928964,-75.220586
248,Elmwood Av & 57th St,T5,2,2,26,39.929935,-75.219226
249,Elmwood Av & 56th St,T5,2,2,26,39.930986,-75.217747
250,Elmwood Av & 56th St,T5,2,2,26,39.931173,-75.217711
251,Elmwood Av & 57th St,T5,2,2,26,39.930131,-75.219202
252,Elmwood Av & 58th St,T5,2,2,26,39.929152,-75.220539
253,Elmwood Av & 59th St,T5,2,2,26,39.928226,-75.221958
254,Lancaster Av & Thompson St,T1,4,3,23,39.973748,-75.219747
255,Richmond St & Cambria St,G1,1,2,20,39.979092,-75.108862
256,Richmond St & Somerset St,G1,1,2,20,39.978159,-75.110697
257,Richmond St & Lehigh Av,G1,1,2,20,39.976907,-75.113101
258,Richmond St & Huntingdon St,G1,1,2,20,39.975628,-75.115552
259,Richmond St & Cumberland St,G1,1,2,20,39.974331,-75.118038
