Rank_by_Units,Station_Stop_Name,Line_Route,Mode,District,Units_2020_2025,Permits_2020_2025,Score,Tier,BSL_MFL_Citywide_Rank,Existing_TOD_Overlay
105,40th St & Filbert St,Trolley T1,Trolley,3,161,16,,Trolley,,No
106,Lancaster Av & 38th St,Trolley T1,Trolley,3,158,17,,Trolley,,No
107,Chester Av & 49th St,Trolley T3,Trolley,3,157,9,,Trolley,,No
108,Huntingdon,Market/Frankford Line,BSL/MFL,7,156,,42.7,Tier 3 - Moderate Candidate,8,Yes
109,Girard Av & 26th St,Trolley G1,Trolley,5,156,15,,Trolley,,No
110,Girard Av & 26th St,Trolley G1,Trolley,5,156,15,,Trolley,,No
111,Chester Av & 51st St,Trolley T3,Trolley,3,155,16,,Trolley,,No
112,Chester Av & 51st St,Trolley T3,Trolley,3,155,16,,Trolley,,No
113,40th-Market,Trolley T2,Trolley,3,151,15,,Trolley,,No
114,40th-Market,Trolley T2,Trolley,3,151,15,,Trolley,,No
115,40th-Market,Trolley T3,Trolley,3,151,15,,Trolley,,No
116,40th-Market,Trolley T3,Trolley,3,151,15,,Trolley,,No
117,40th-Market,Trolley T4,Trolley,3,151,15,,Trolley,,No
118,40th-Market,Trolley T4,Trolley,3,151,15,,Trolley,,No
119,40th-Market,Trolley T5,Trolley,3,151,15,,Trolley,,No
120,40th-Market,Trolley T5,Trolley,3,151,15,,Trolley,,No
121,Baltimore Av & 51st St,Trolley T2,Trolley,3,147,12,,Trolley,,No
122,Girard Av & 11th St,Trolley G1,Trolley,5,146,6,,Trolley,,No
123,Girard Av & 27th St,Trolley G1,Trolley,5,146,14,,Trolley,,No
124,College Av & 24th St - FS,Trolley G1,Trolley,5,146,14,,Trolley,,No
125,Girard Av & 11th St,Trolley G1,Trolley,5,146,6,,Trolley,,No
126,Chester Av & 52nd St,Trolley T3,Trolley,3,143,15,,Trolley,,No
127,Chester Av & 52nd St,Trolley T3,Trolley,3,143,15,,Trolley,,No
128,Baltimore Av & 51st St,Trolley T2,Trolley,3,137,11,,Trolley,,No
129,Baltimore Av & 53rd St,Trolley T2,Trolley,3,137,11,,Trolley,,No
130,Chester Av & 49th St,Trolley T3,Trolley,3,137,7,,Trolley,,No
131,Girard Av & 24th St,Trolley G1,Trolley,5,136,13,,Trolley,,No
132,Poplar St & 25th St,Trolley G1,Trolley,5,136,13,,Trolley,,No
133,Girard Av & 39th St,Trolley G1,Trolley,3,134,15,,Trolley,,No
134,Baltimore Av & 53rd St,Trolley T2,Trolley,3,127,10,,Trolley,,No
135,Baltimore Av & 52nd St,Trolley T2,Trolley,3,127,10,,Trolley,,No
136,Poplar St & Stillman St,Trolley G1,Trolley,5,126,12,,Trolley,,No
137,Chester Av & 53rd St,Trolley T3,Trolley,3,123,13,,Trolley,,No
